,original,item,number,answer,lemma,pos,gram,sems,rel
84,Девочка никак не могла вынуть соринку‚ попавшую в глаз.,Девочка никак не могла вынуть соринку‚ попавшую,8,в,в,PR,,,
85,Девочка никак не могла вынуть соринку‚ попавшую в глаз.,Девочка никак не могла вынуть соринку‚ попавшую в,9,глаз,глаз,S,"муж,вин,ед",{'глаз': 'глаз>органы чувств>орган живого организма>биологическая сущность>физическая сущность>постоянная сущность>'},"{'глаз': {'antonyms': [], 'domains': ['зоология', 'анатомия (наука)'], 'domain_items': [], 'meronyms': ['веко', 'хрусталик', 'глазное яблоко', 'радужная оболочка', 'роговица'], 'holonyms': ['лицо человека'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['фонарь под глазом', 'взгляд, направленность зрения', 'глазница', 'щурить глаза', 'офтальмология', 'свет глаз', 'глазастый', 'нарушение зрения', 'красить глаза', 'глазная болезнь']}}"
86,Причиной аварии был мобильный телефон‚ который отвлекал водителя.,,1,причиной,причина,S,"жен,твор,ед","{'причина явления': 'причина явления>причинно-следственная связь>зависимость (отношение)>отношение между сущностями>', 'основание, предлог, мотив': 'основание, предлог, мотив>обстоятельство, фактор>событие, факт>происходящая сущность>'}","{'причина явления': {'antonyms': ['беспричинный'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['объяснить причину', 'неуважительный (неубедительный)']}, 'основание, предлог, мотив': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['мотивированный (обоснованный)', 'мотивировать']}}"
87,Причиной аварии был мобильный телефон‚ который отвлекал водителя.,Причиной,2,аварии,авария,S,"жен,род,ед","{'авария': 'авария>чрезвычайное происшествие>происшествие, случай>событие, факт>происходящая сущность>'}","{'авария': {'antonyms': ['безаварийная эксплуатация'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['аварийность (показатель)', 'аварийно-ремонтная машина', 'аварийное отключение', 'противоаварийная защита', 'запасный выход', 'неисправное состояние', 'аварийное состояние', 'перебои в электроснабжении']}}"
88,Причиной аварии был мобильный телефон‚ который отвлекал водителя.,Причиной аварии,3,был,быть,V,"нп,прош,ед,изъяв,муж,несов","{'пребывать в состоянии': 'пребывать в состоянии>отношение между сущностями>', 'представлять собой, являться': 'представлять собой, являться>отношение между сущностями>', 'находиться, пребывать': 'находиться, пребывать>отношение между сущностями>', 'произойти, случиться': 'произойти, случиться>', 'присутствие (пребывание)': 'присутствие (пребывание)>находиться, пребывать>отношение между сущностями>', 'существовать, быть, иметься': 'существовать, быть, иметься>обстоятельства, обстановка, условия>'}","{'пребывать в состоянии': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'представлять собой, являться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'находиться, пребывать': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'произойти, случиться': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'присутствие (пребывание)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'существовать, быть, иметься': {'antonyms': ['нереальный, несуществующий'], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
89,Причиной аварии был мобильный телефон‚ который отвлекал водителя.,Причиной аварии был,4,мобильный,мобильный,A,"им,ед,полн,муж","{'мобильный (передвижной)': 'мобильный (передвижной)>передвижной, нестационарный>свойство, характеристика>'}","{'мобильный (передвижной)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
90,Причиной аварии был мобильный телефон‚ который отвлекал водителя.,Причиной аварии был мобильный,5,телефон,телефон,S,"муж,им,ед","{'телефонный аппарат': 'телефонный аппарат>телефонное оборудование>телекоммуникационное оборудование>электронное оборудование>инженерное оборудование>оборудование>техническое устройство>приспособление (предмет)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>', 'телефонная связь': 'телефонная связь>телекоммуникационная связь>сфера связи>инфраструктурная отрасль>отрасль экономики>сектор экономики>сфера деятельности>занятие, деятельность>происходящая сущность>', 'телефонный номер': 'телефонный номер>номер по порядку>количество, величина, число>свойство, характеристика>абстрактная сущность>постоянная сущность>'}","{'телефонный аппарат': {'antonyms': [], 'domains': ['телефонная связь'], 'domain_items': [], 'meronyms': ['телефонная трубка'], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['телефонный номер', 'факсимильный аппарат']}, 'телефонная связь': {'antonyms': [], 'domains': ['экономика', 'телефонная связь'], 'domain_items': ['телефонограмма', 'телефонировать', 'телефонная трубка', 'обзвонить (позвонить многим)', 'обзвонить (позвонить многим)', 'телефонный аппарат', 'телефонный аппарат', 'переговорное устройство', 'переговорное устройство', 'домофон', 'домофон', 'спутниковый телефон', 'перезвонить, повторить звонок', 'телефон-автомат', 'телефон-автомат', 'сотовый телефон', 'радиотелефон', 'телефонный справочник', 'телефонная компания', 'дальняя телефонная связь', 'телефонная гарнитура', 'роуминг', 'роуминг', 'смартфон', 'смартфон', 'компания сотовой связи', 'мобильный номер', 'контактный номер', 'горячая линия', 'телефонная связь', 'телефонная связь', 'телефонное оборудование', 'телефонизация', 'телефонизация', 'телефонизация', 'радиотелефонная связь', 'радиотелефонная связь', 'телефонная сеть', 'телефонная линия', 'автоответчик', 'междугородная телефонная связь', 'сотовая связь', 'сотовая связь', 'телефонный разговор', 'телефонный разговор', 'почтамт', 'почтамт', 'телефонист', 'телефонист', 'телефонный номер'], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['телефонный справочник', 'телефонизация']}, 'телефонный номер': {'antonyms': [], 'domains': ['телефонная связь'], 'domain_items': [], 'meronyms': [], 'holonyms': ['телефонная сеть'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['телефонный справочник', 'телефонный аппарат']}}"
91,Причиной аварии был мобильный телефон‚ который отвлекал водителя.,Причиной аварии был мобильный телефон‚,6,который,который,APRO,"им,ед,муж",,
92,Причиной аварии был мобильный телефон‚ который отвлекал водителя.,Причиной аварии был мобильный телефон‚ который,7,отвлекал,отвлекать,V,"прош,ед,изъяв,муж,несов,пе","{'отвлечь внимание': 'отвлечь внимание>принудить, заставить>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>'}","{'отвлечь внимание': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': ['отклониться от темы, занятия'], 'related': []}}"
93,Причиной аварии был мобильный телефон‚ который отвлекал водителя.,Причиной аварии был мобильный телефон‚ который отвлекал,8,водителя,водитель,S,"муж,вин,ед","{'водитель транспортного средства': 'водитель транспортного средства>человек по сфере деятельности>человек>субъект деятельности>постоянная сущность>', 'водитель автотранспорта': 'водитель автотранспорта>водитель транспортного средства>человек по сфере деятельности>человек>субъект деятельности>постоянная сущность>'}","{'водитель транспортного средства': {'antonyms': [], 'domains': ['транспортная сфера'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['путевой лист']}, 'водитель автотранспорта': {'antonyms': [], 'domains': ['автомобильный транспорт'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['контроль на алкоголь', 'гражданская ответственность водителей']}}"
94,От смерти его спасла собака‚ которая приносила ему еду.,,1,от,от,PR,,,
95,От смерти его спасла собака‚ которая приносила ему еду.,От,2,смерти,смерть,S,"жен,род,ед","{'смерть': 'смерть>гибель (прекращение существования)>исчезнуть, перестать существовать>кончиться, прекратиться>перестать, прекратить (что-то делать)>действие, целенаправленное действие>происходящая сущность>'}","{'смерть': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': ['остановка сердца'], 'holonyms': ['умереть, уйти из жизни'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['умершее лицо', 'неизлечимая болезнь', 'смертная казнь', 'воскресить умершего', 'убить, лишить жизни', 'похороны', 'вымереть (опустеть)', 'убийство человека', 'самоубийство', 'эпитафия', 'смертный, невечный', 'скоропостижный']}}"
96,От смерти его спасла собака‚ которая приносила ему еду.,От смерти,3,его,его,APRO,"вин,ед,сред",,
97,От смерти его спасла собака‚ которая приносила ему еду.,От смерти его,4,спасла,спасать,V,"прош,ед,изъяв,жен,сов","{'спасти от опасности': 'спасти от опасности>избавить от проблем, неприятностей>содействие>отношения между людьми>совместная деятельность>занятие, деятельность>', 'спасти (сохранить, сберечь)': 'спасти (сохранить, сберечь)>сохранить, сберечь>беречь, содержать в целости>стеречь, следить за сохранностью>охранять>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>'}","{'спасти от опасности': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': ['спастись'], 'related': []}, 'спасти (сохранить, сберечь)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
98,От смерти его спасла собака‚ которая приносила ему еду.,От смерти его спасла,5,собака,собака,S,"жен,им,ед",{'собака': 'собака>млекопитающее>позвоночное животное>животное>живой организм>биологическая сущность>физическая сущность>постоянная сущность>'},"{'собака': {'antonyms': [], 'domains': ['биология', 'зоология'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['ездовой спорт', 'лаять (издавать звук)', 'стая собак', 'конура, собачья будка', 'собаководство', 'пироплазмоз собак', 'собачья чума', 'натравливание собак', 'отлов бродячих собак', 'намордник', 'собачник, любитель собак']}}"
99,От смерти его спасла собака‚ которая приносила ему еду.,От смерти его спасла собака‚,6,которая,который,APRO,"им,ед,жен",,
100,От смерти его спасла собака‚ которая приносила ему еду.,От смерти его спасла собака‚ которая,7,приносила,приносить,V,"прош,ед,изъяв,жен,несов,пе","{'дать в результате': 'дать в результате>отношение между сущностями>', 'принести (доставить)': 'принести (доставить)>доставить к месту назначения>переместить>принудить, заставить>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>'}","{'дать в результате': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'принести (доставить)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': ['нести с собой'], 'causes': [], 'effects': [], 'related': []}}"
101,От смерти его спасла собака‚ которая приносила ему еду.,От смерти его спасла собака‚ которая приносила,8,ему,он,SPRO,"ед,дат",,
102,От смерти его спасла собака‚ которая приносила ему еду.,От смерти его спасла собака‚ которая приносила ему,9,еду,еда,S,"ед,вин","{'есть, принимать пищу': 'есть, принимать пищу>глотать внутрь себя>вобрать в себя>переместить>принудить, заставить>обуславливать, способствовать>влиять, воздействовать>отношение между сущностями>', 'еда, пища': 'еда, пища>вещество>физическая сущность>постоянная сущность>'}","{'есть, принимать пищу': {'antonyms': [], 'domains': ['кулинарное искусство'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['аппетит (желание есть)', 'натощак, до приема пищи', 'расстройство приема пищи', 'проесть средства', 'запить съеденное', 'нервная булимия', 'кормить с ложки', 'наесться, насытиться', 'несъедобный', 'чавканье при еде', 'объедки', 'поститься']}, 'еда, пища': {'antonyms': [], 'domains': ['кулинарное искусство'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['кулинарный туризм', 'безвкусный, пресный', 'кормить с ложки', 'заправить пищу', 'без средств к существованию', 'аппетитный на вид', 'вкус, ощущение на языке', 'ланчбокс', 'кормить, давать еду', 'пищеварение, переваривание пищи', 'угостить, предложить угощение', 'диетология', 'приготовление пищи', 'продукты питания', 'проесть средства']}}"
103,Они заметили вагон красного цвета и переглянулись,,1,они,они,SPRO,"мн,им",,
104,Они заметили вагон красного цвета и переглянулись,Они,2,заметили,замечать,V,"пе,прош,мн,изъяв,сов","{'заметить (запомнить по каким-либо признакам)': 'заметить (запомнить по каким-либо признакам)>запомнить, сохранить в памяти>сохраниться (не исчезнуть)>обстоятельства, обстановка, условия>', 'заметить, обнаружить': 'заметить, обнаружить>обратить внимание>выделить, отличить от остальных>различить, установить различие>определить, выяснить>узнать, получить сведения>получить в распоряжение>действие, целенаправленное действие>'}","{'заметить (запомнить по каким-либо признакам)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'заметить, обнаружить': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['фиксировать на бумаге, изображении'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
105,Они заметили вагон красного цвета и переглянулись,Они заметили,3,вагон,вагон,S,"муж,вин,ед","{'железнодорожный вагон': 'железнодорожный вагон>вагон>транспортное оборудование>оборудование>техническое устройство>приспособление (предмет)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>', 'вагон': 'вагон>транспортное оборудование>оборудование>техническое устройство>приспособление (предмет)>предмет, вещь>физический объект>физическая сущность>постоянная сущность>'}","{'железнодорожный вагон': {'antonyms': [], 'domains': ['железнодорожный транспорт'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['проводник поезда']}, 'вагон': {'antonyms': [], 'domains': ['железнодорожный транспорт', 'транспортная сфера'], 'domain_items': [], 'meronyms': ['тамбур вагона'], 'holonyms': ['поезд'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['ремонт вагонов', 'вагоностроительная промышленность', 'сортировка вагонов']}}"
106,Они заметили вагон красного цвета и переглянулись,Они заметили вагон,4,красного,красный,A,"род,ед,полн,муж","{'красный цвет': 'красный цвет>цвет, окраска>свойство, характеристика>'}","{'красный цвет': {'antonyms': [], 'domains': ['цвет, окраска'], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
107,Они заметили вагон красного цвета и переглянулись,Они заметили вагон красного,5,цвета,цвет,S,"муж,род,ед","{'расцвет, процветание': 'расцвет, процветание>вершина, кульминация>этап развития>этап процесса>происходящая сущность>', 'цвет, окраска': 'цвет, окраска>физическое свойство>свойство, характеристика>абстрактная сущность>постоянная сущность>', 'цветение растения': 'цветение растения>распускание почек>изменение состояния>измениться, изменение>процесс, смена состояний>происходящая сущность>'}","{'расцвет, процветание': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'цвет, окраска': {'antonyms': ['бесцветный'], 'domains': ['цвет, окраска'], 'domain_items': ['цвет, окраска', 'цвет, окраска', 'пятно на поверхности', 'клякса', 'красный цвет', 'красный цвет', 'бордовый цвет', 'бордовый цвет', 'синий цвет', 'синий цвет', 'голубой цвет', 'голубой цвет', 'зеленый цвет', 'зеленый цвет', 'салатовый цвет', 'салатовый цвет', 'розовый цвет', 'розовый цвет', 'малиновый цвет', 'малиновый цвет', 'коричневый цвет', 'коричневый цвет', 'карий цвет', 'карий цвет', 'каштановый цвет', 'каштановый цвет', 'изумрудный цвет', 'изумрудный цвет', 'болотный цвет', 'болотный цвет', 'серый цвет', 'серый цвет', 'пепельный цвет', 'пепельный цвет', 'стальной цвет', 'стальной цвет', 'желтый цвет', 'желтый цвет', 'золотистый цвет', 'золотистый цвет', 'белый цвет', 'белый цвет', 'серебряный цвет', 'серебряный цвет', 'бежевый цвет', 'бежевый цвет', 'оранжевый цвет', 'оранжевый цвет', 'абрикосовый цвет', 'абрикосовый цвет', 'рыжий цвет', 'рыжий цвет', 'бирюзовый цвет', 'бирюзовый цвет', 'черный цвет', 'черный цвет', 'фиолетовый цвет', 'фиолетовый цвет', 'лазурный цвет', 'лазурный цвет', 'алый цвет', 'алый цвет', 'вишневый цвет', 'вишневый цвет', 'кровоподтек', 'сизый цвет', 'сизый цвет', 'опаловый цвет', 'опаловый цвет', 'оливковый цвет', 'оливковый цвет', 'персиковый цвет', 'персиковый цвет', 'цвет индиго', 'цвет индиго', 'соломенный цвет', 'соломенный цвет', 'лимонный цвет', 'лимонный цвет', 'багровый цвет', 'багровый цвет', 'потек (след)', 'кровавый цвет', 'кровавый цвет', 'солнечный зайчик', 'свекольный цвет', 'свекольный цвет', 'масть животного', 'гнедая масть', 'гнедая масть', 'бурый цвет', 'бурый цвет', 'бутылочный цвет', 'бутылочный цвет', 'песочный цвет', 'песочный цвет', 'сивая масть', 'сивая масть', 'апельсиновый цвет', 'апельсиновый цвет', 'пшеничный цвет', 'пшеничный цвет', 'огненный цвет', 'огненный цвет', 'соловая масть', 'соловая масть', 'рубиновый цвет', 'рубиновый цвет', 'сиреневый цвет', 'сиреневый цвет', 'гранатовый цвет', 'гранатовый цвет', 'морковный цвет', 'морковный цвет', 'коралловый цвет', 'коралловый цвет', 'кремовый цвет', 'кремовый цвет', 'шоколадный цвет', 'шоколадный цвет', 'защитный цвет', 'защитный цвет', 'кофейный цвет', 'кофейный цвет', 'свинцовый цвет', 'свинцовый цвет', 'янтарный цвет', 'янтарный цвет', 'цвет волос', 'русоволосый', 'русоволосый', 'белокурый', 'белокурый', 'черноволосый', 'черноволосый', 'бельмо на глазу', 'бельмо на глазу', 'разноцветный', 'разноцветный', 'бесцветный', 'бесцветный', 'бесцветный', 'оттенок цвета', 'оттенок цвета', 'небесный цвет', 'небесный цвет', 'горчичный цвет', 'горчичный цвет', 'расцветка (сочетание цветов)', 'полосатая окраска', 'полосатая окраска', 'тигровый (полосатый)', 'тигровый (полосатый)', 'белоснежный', 'белоснежный', 'бледный по окраске', 'бледный по окраске', 'яркий по цвету', 'яркий по цвету', 'румяный цвет', 'румяный цвет', 'румянец', 'румянец', 'светлый по цвету', 'светлый по цвету', 'темный по цвету', 'темный по цвету', 'белый (светлый)', 'мрачный (темный)', 'мрачный (темный)', 'цветастый', 'цветастый', 'сумрачный (охваченный сумраком)', 'сумрачный (охваченный сумраком)', 'пасмурный (хмурый и сумрачный)', 'пасмурный (хмурый и сумрачный)', 'зеленый (бледный)', 'зеленый (бледный)', 'сочный по цвету', 'сочный по цвету', 'освежить цвет', 'освежить цвет', 'блеклый (бесцветный)', 'блеклый (бесцветный)', 'смуглый', 'смуглый', 'молочный цвет', 'молочный цвет', 'жемчужный цвет', 'жемчужный цвет', 'теплый по цвету', 'теплый по цвету', 'холодный по цвету', 'холодный по цвету', 'рябой (пестрый)', 'рябой (пестрый)', 'рябиновый цвет', 'рябиновый цвет', 'веселый по цвету', 'клубничный цвет', 'клубничный цвет', 'загорелый', 'загар', 'загар', 'телесный цвет', 'телесный цвет', 'ржавый (красно-бурый)', 'ржавый (красно-бурый)', 'цвет лица', 'выцвести от времени', 'выцвести от времени', 'выцвести на солнце', 'выцвести на солнце', 'пятнистая расцветка', 'пятнистая расцветка', 'крапина, крапинка', 'кричаще яркий', 'блик света', 'белесый (тусклый и светлый до белизны)', 'белесый (тусклый и светлый до белизны)', 'бескровный, бескровно бледный', 'бескровный, бескровно бледный', 'бронзовый цвет', 'бронзовый цвет', 'веснушки на коже', 'веснушки на коже', 'одноцветный, одного цвета', 'одноцветный, одного цвета', 'горошек (крапины)', 'рисунчатый, с рисунком', 'рисунчатый, с рисунком', 'клетчатый, в клетку', 'клетчатый, в клетку', 'отметина (пятно)', 'палитра, цветовая гамма', 'палитра, цветовая гамма', 'перламутровый цвет', 'перламутровый цвет', 'ссадина', 'колорит картины', 'колорит картины', 'крап (расцветка)', 'крап (расцветка)', 'мимикрия организмов', 'седой, седовласый', 'седой, седовласый', 'рыжеволосый', 'рыжеволосый', 'цвет фона', 'родинка, родимое пятно', 'трехцветный', 'трехцветный', 'цветной (не черный и не белый)', 'цветной (не черный и не белый)', 'ажурный (сквозной, сетчатый)', 'ажурный (сквозной, сетчатый)', 'узорчатый, с узором', 'узорчатый, с узором', 'оттенить, подчеркнуть (выделить цветом)', 'цвет травы', 'цвет травы', 'многоцветный', 'многоцветный', 'точка (пятнышко)', 'точка (пятнышко)', 'темно-красный цвет', 'темно-красный цвет', 'мышиный цвет', 'мышиный цвет', 'расписной (красочный)', 'сапфировый цвет', 'сапфировый цвет', 'малахитовый цвет', 'малахитовый цвет', 'леопардовая расцветка', 'леопардовая расцветка', 'пигментное пятно', 'медный цвет', 'медный цвет', 'пиксел', 'пиксел', 'карамельный цвет', 'карамельный цвет', 'контрастность изображения', 'контрастность изображения', 'контрастность изображения', 'мраморная окраска', 'мраморная окраска', 'окрасить, придать цвет', 'пятно на коже', 'грязное пятно', 'сочетание цветов', 'засос от поцелуя', 'тень на изображении', 'резкий по цвету', 'резкий по цвету', 'бледность лица', 'бледность лица', 'металлик (цвет)', 'темно-синий цвет', 'авокадо (цвет)', 'цвет глаз'], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['палитра, цветовая гамма', 'выцвести от времени', 'изменяться в цвете', 'одноцветный, одного цвета', 'красить, покрывать краской', 'пятно на поверхности', 'сочетание цветов', 'контрастность изображения', 'освежить цвет']}, 'цветение растения': {'antonyms': [], 'domains': ['ботаника'], 'domain_items': [], 'meronyms': [], 'holonyms': ['вегетация растений'], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': ['цветок (часть растения)', 'отцветание растения', 'растение']}}"
108,Они заметили вагон красного цвета и переглянулись,Они заметили вагон красного цвета,6,и,и,CONJ,,,
109,Они заметили вагон красного цвета и переглянулись,Они заметили вагон красного цвета и,7,переглянулись,переглядываться,V,"нп,прош,мн,изъяв,сов","{'переглянуться, обменяться взглядами': 'переглянуться, обменяться взглядами>обменяться (взаимно сделать)>ответить, поступить в ответ>поступок человека>действие, целенаправленное действие>'}","{'переглянуться, обменяться взглядами': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
110,Они зашли к маминой подруге‚ которая жила рядом.,,1,они,они,SPRO,"мн,им",,
111,Они зашли к маминой подруге‚ которая жила рядом.,Они,2,зашли,зайти,V,"сов,прош,мн,изъяв","{'зайти, чтобы забрать': 'зайти, чтобы забрать>прийти к месту>прибытие на место>добраться до места>', 'зайти далеко, не туда': 'зайти далеко, не туда>попасть (оказаться, очутиться)>находиться, пребывать>отношение между сущностями>', 'зайти по пути': 'зайти по пути>посетить (прийти, побывать)>поступок человека>действие, целенаправленное действие>', 'зайти (оказаться за чем-либо)': 'зайти (оказаться за чем-либо)>исчезнуть из виду>перестать, прекратить (что-то делать)>действие, целенаправленное действие>', 'войти внутрь': 'войти внутрь>проникнуть внутрь>попасть (оказаться, очутиться)>находиться, пребывать>отношение между сущностями>'}","{'зайти, чтобы забрать': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'зайти далеко, не туда': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': ['идти ногами'], 'causes': [], 'effects': [], 'related': []}, 'зайти по пути': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['занести по пути'], 'conclusions': ['идти ногами'], 'causes': [], 'effects': [], 'related': []}, 'зайти (оказаться за чем-либо)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'войти внутрь': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['загнать внутрь'], 'conclusions': [], 'causes': ['ввести (привести)'], 'effects': [], 'related': []}}"
112,Они зашли к маминой подруге‚ которая жила рядом.,Они зашли,3,к,к,PR,,,
113,Они зашли к маминой подруге‚ которая жила рядом.,Они зашли к,4,маминой,мамин,A,"полн,дат,ед,жен",,
114,Они зашли к маминой подруге‚ которая жила рядом.,Они зашли к маминой,5,подруге,подруга,S,"жен,дат,ед","{'подруга, друг-женщина': 'подруга, друг-женщина>женщина, человек женского пола>человек>субъект деятельности>постоянная сущность>', 'подруга, любимая девушка': 'подруга, любимая девушка>женщина, человек женского пола>человек>субъект деятельности>постоянная сущность>'}","{'подруга, друг-женщина': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'подруга, любимая девушка': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
115,Они зашли к маминой подруге‚ которая жила рядом.,Они зашли к маминой подруге‚,6,которая,который,APRO,"им,ед,жен",,
116,Они зашли к маминой подруге‚ которая жила рядом.,Они зашли к маминой подруге‚ которая,7,жила,жить,V,"несов,прош,ед,изъяв,жен","{'жить, обитать': 'жить, обитать>находиться, пребывать>отношение между сущностями>', 'жить (существовать)': 'жить (существовать)>существовать, быть, иметься>обстоятельства, обстановка, условия>'}","{'жить, обитать': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['прижиться (приспособиться)'], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}, 'жить (существовать)': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': ['нажить неприятности', 'рост живого организма'], 'conclusions': [], 'causes': ['воскресение умершего', 'воскресить умершего'], 'effects': [], 'related': []}}"
117,Они зашли к маминой подруге‚ которая жила рядом.,Они зашли к маминой подруге‚ которая жила,8,рядом,рядом,ADV,,,
118,Петя никак не мог доделать домашнюю работу.,,1,петя,петя,S,"имя,им,ед",,
119,Петя никак не мог доделать домашнюю работу.,Петя,2,никак,никак,ADVPRO,"вводн,",,
120,Петя никак не мог доделать домашнюю работу.,Петя никак,3,не,не,PART,,,
121,Петя никак не мог доделать домашнюю работу.,Петя никак не,4,мог,мочь,V,"несов,прош,ед,изъяв,муж","{'мочь, иметь возможность': 'мочь, иметь возможность>обладать свойством>отношение между сущностями>'}","{'мочь, иметь возможность': {'antonyms': [], 'domains': [], 'domain_items': [], 'meronyms': [], 'holonyms': [], 'premises': [], 'conclusions': [], 'causes': [], 'effects': [], 'related': []}}"
